Content,Date
"Been attending their classes for a while now and I must say this is good place for building up a foundation whether for pilates or spin. love the energy of the instructors!however, it's very challenging to book classes when the slots open at 10pm. I find the app has been getting worse, it lags and then hangs, can absolute please improve on this? other than that, I like attending classes here :)",2023-01-04
"My first introduction to spin was at Absolute close to 3 years ago now, and have stuck with them since! Instructors are always full of great energy, encouraging yet challenging us riders to do our best. Facilities like showers are also clean, and there's instant coffee and tea available at CTP too. Definitely recommend for those new to spin - always a good burn 🔥",2023-01-05
"A nice studio for pilate workout. The instructors are very friendly and professional; always there to help when you need them. Good vibes and energy!The only setback is that classes are difficult to book due to high demand and the app always lag or hang, resulting in not being able to secure the desired class. Hope Absolute can look into upgrading the app 😀",2023-01-05
Customer service at frontdesk was unfriendly. Very strict rules. Can't join the class if you're 3 mins late. No flexibility given eventhough it was heavy rain with heavy traffic during early morning rush. And class was only half full. My friend arrived at 8.02am but wasn't allowed to join the 8am class. Note that they might also impose a late fee penalty!,2023-01-06
"Absolute You offers a fun and energetic spin as well as great reformer pilates classes. They have a few outlets in Singapore - all locations of great convenience. I absolutely love Absolute and I have been joining them as an active member since a colleague of mine introduce me. Come and experience it yourself, I’m sure you’ll enjoy it as much as I do.",2023-01-07
"As a first time customer who bought the trial package, the booking system is absolutely horrible. There are absolutely NO available classes for booking everything is on waitlist. Even if I login to try to reserve a class at 10pm, the whole app hangs and is super laggy. When the app is finally able to load, every class that I can attend is on waitlist",2023-01-06
"The largest, newest studio and also my favourite one! Love that it is spacious with lots of seating areas and lockers that are well spread out, where you can catch your breath and just chill for a while as opposed to having to rush out of a cramped studio asap. Also the most convenient one of all AND with pilates reformer classes as added option!",2023-01-07
I went for the trial class at RP outlet for Pilate reformer class. The Instructor named Cass. Not friendly at all. I don't really enjoy the class experience.Their instructor at centerpoint is better but slot very hard to book!!! always full or on waiting list forever.Really depends on the instructor..I enjoy Vanie class. She is not bad.,2023-01-02
"Great studios, great cs team n great instructors. Love both centrepoint n star vista staff for their friendliness n helpfulness. Shout out to spin instructors Vnex, JE, Brian, Ria, Shaun, Una n Zul for making every ride as fun as it could get! Also, Pilates instructors, Nicole n Vanie (n Vnex) again for making us work!!! U guys rock!!!",2023-01-03
"Where are our favourite instructors?Also, app is pretty dated and hard to use.So vs ClassPass...Excellent appFlexibilityvsCumbersome appLocked in packages with tons of rules and fine printSudden change of lineup of instructors (hey we bought packages expecting the instructors would be there)It's clear where we should place our $$",2023-01-06
"Absolute center point is like my second home. Studio is spacious with very good vibes. Equipment is well spaced out and cleaned after use. But the highest compliment goes to the instructors. They  are best of the best, always patient and at the same time try to kill you every single time. Look for Chris’ class. He is the best!",2023-01-07
"Classes are extremely hard to book. Within 2 hours of new classes being released, I was number 20 something on the waitlist. So if you have a package, there is a risk you might not finish using the package before it expires. Think carefully,  call up to ask more detailed questions before you throw your hard-earned money away.",2023-01-01
I’ve never seem a worse customer service. They simply do not reply your email anymore in the middle of a conversation and just leave the problem unsolved. I’m stunned by how irresponsible the customer service person is. Super disappointed and would definitely explore other pilates studio after the current package is finished.,2023-01-06
"Absolute is a great place for beginners to start their spin class experience! The instructors and staff in general are very encouraging, patient and just nice all around. The outlets are also all in super accessible places, which makes it easier to commit to a class. Looking forward to a long journey with Absolute!",2023-01-05
"The cycling and pilates instructors were wonderfully nice and professional. I felt safe n productive in the trial class. However their lite package, WITHOUT PRIOR NOTICE, has withdrawn and therefore am unable to continue the pilates class.  I bought 4 new pilate socks for nothing. SAD. So I can only enjoy cycling.",2023-01-06
Centrepoint studio : Clean and spacious studio with pantry and cosy waiting areas. Shower and Lockers facilities. Friendly counter staff. I enjoy the reformer pilates classes conducted in the studios. Instructors are professional. Agree with most review that they need to improve on their booking system.,2023-01-03
"Bad customer service - continued to be so, even after years & left email reviews (which they ignored & blocked me LOL) - better off to go Revo Raffles Place or Aurora Suntec or ALLY which is sooo much better!!!TBH any other spin class is better than Absolute. Am glad I’m finally finishing my package.",2023-01-06
Been trying to contact customer service for a few days. Line is always not picked up. Did not respond to email and did not receive a call back. Not sure how else customer service can be contacted. Seems like it’s intentional because I have been calling repeatedly. Booking system is another issue 😅,2023-01-02
"Absolute's reformer pilates classes are one of the cheapest in singapore, and with good instructors! Bought the trial package to try and ended up buying more pilates classes from their anniversary sale 😅 Difficult to make bookings though since it's a small class. Need some camping skills.. 🙃",2023-01-03
"I thought that this was going to be a basic boring class where there was no support. I have never been so happy to be proven wrong! GREAT vibes, teachers with amazing energy and awesome song choices & facilities. I started with trial classes and i've been consistently going week after week.",2023-01-08
"Bought a trial pass and DO NOT recommend anyone to buy, unless you are willing to camp at their site and end up not getting any class slots.Booking system is horrible and almost impossible to book classes, they've sold too many trial passes and their studios just cannot handle the volume.",2023-01-07
I like the studio and amenities provided at Centrepoint. Lessons are pretty engaging as instructors will switch things up a bit as we practise movements between classical and contemporary movements.The only criticism here is the capability of your APP to handle surges.,2023-01-05
Reach just in time before class and to my dismay slot given away. Didn’t know they can do such thing when I have booked the slot and to begin with I am not even late. It’s really disappointing 😔 and not to mention the booking system which is another disaster.,2023-01-02
My first pilate class in life was freakin amazing thanks to Absolute You. The environment and facilities are great. Instructor was clear although it’s a little bit fast for beginners but she’s quick to help out for better understanding. Overall just love it!,2023-01-06
I brought the package on November 11.11 Sales. But I couldn't book for one one class at all. The system always put me to waiting list and the worst part is they never get me to the class for once. I will never go to this place anymore. Is a bad experience.,2023-01-07
"Very rude and bad services. Totally ignore my enquiry and did not respond. Always unable to reach their HOTline. Difficult to book their classes till my package expired! Money wasted. If u have too much money, join at ur own risk. Pls refund me my money!",2023-01-01
Addicted right from the first spin class. The front desk staffs made me feel welcomed from the moment I step into the studio. The instructors music and high energy make the tough workout feel more like a party and make me keep coming back for more.,2023-01-04
Fun and cool place to energise ur body to spin out ur calories and hype on ur mood with the professional fun loving instructors whom are attentive to every riders and never fails to give motivational quotes that we can push ourselves abit more .,2023-01-07
Scam! Don’t purchase any packages or trial classes! They will just take your money and you are not able to book any class. Only few slots for you to fight like dogs. Always no slot and the customer service is terrible. Will give 0 star if I can,2023-01-07
Being going for classes for almost 1yr and still enjoy it as much. The instructors are all very friendly and helpful. Totally enjoy the jumpboard Pilates. Hopefully they can increase to more classes as it’s really hard to book for a class.,2023-01-05
One of the best spin studios I’ve ever been to!The facilities are top notch and the place is easy to navigate.The instructors are all friendly and charismatic and I’ve enjoyed every single class that I’ve been to!Would highly recommend!!,2023-01-07
"All studios are clean and well maintained! Feels comfortable to work out with that kind of environment. Both instructors and receptionist are approachable and knowledgeable. Most importantly, a place to let off steam! Absolutely amazing!",2023-01-07
Started off with absolute on classpass and subsequently became an absolute package holder! Guess that should tell how much i enjoy classes with absolute :) The instructors are all super friendly and same goes for the front counter staff!,2023-01-08
Do not purchase a package for this studio!!! They do not have the capacity to service their members with classes and it is impossible to reserve a spot for class. Your package will expire before you’re able to secure a single class.,2023-01-07
"Favourite spin studio in Singapore! Love the energy, vibes and rhythm cycling classes. Instructors are professional and always motivating. Clean and big showers, which is so important. Towels and spinning shoes are provided.",2023-01-05
It’s a nice studio but it’s extremely difficult always to get a spot even with a package...they cancel classes and let you know once you have arrived or teachers arrive 20-30 minutes late to class and it seems to be normal,2023-01-07
Always enjoy the pilates class at absolute centre point. The studio has great facilities and great services from the staffs. They are kind and friendly. Importantly the instructors are professional. Highly recommended.,2023-01-02
Love the Pilates and spin classes which help me keep fit and de-stress after a long day at work! Slots open one week ahead at 10pm daily so you need to be fast in order to attend your favorite instructors’ classes 😉,2023-01-05
Great instructors with fun workouts in a safe space. The studio locations are also accessible with different types of classes available to cater for different fitness level.Definitely recommend to try out ! :),2023-01-03
"Been with absolute for their spin class in the last 5 years. Really enjoyed some of their amenties, and the instructors gave very good vibes during class! Would recommend for all to try out their classes!",2023-01-04
"Recently I attended my first Pilate reformer class and it was wonderful. I felt refresh and good after class. Coach was very patient too, which makes first timer like me feel safe and comfortable. 😃👍🏻",2023-01-03
Absolute Pilates has clean and spacious facilities. The classes really help to me to stretch and improve my mobility and flexibility. Special thank you to Chris for pushing me to my limits every session!,2023-01-05
"Enjoying every spinning and pilates class. While the instructors are energetic and funny, they also show great care to ensure we are in great form! Shout out to JE, Ria and Pearlyn!! 👍🏻👍🏻👍🏻👍🏻👍🏻",2023-01-06
Pearlyn’s Pilates classes are very challenging and make you work out a sweat every single time. You just keep getting better and better- would recommend both beginners and advanced Pilates practitioners!,2023-01-07
"Love the reformer pilates classes. Both the Centrepoint and Raffles Place studios are nice, clean and spacious! The only downside is that it is quite difficult to book a class due to issues with the app",2023-01-03
Love the accessibility and facilities of the studio. The studio offers both spin & pilates classes which complements each other. There’s variety in the class types and themed rides which are fun,2023-01-05
Always leaving the studio with a sense of positivity & achievement. Energetic instructors with great playlists for Spins & absolutely fabulous Pilates instructors guiding in clear instructions.,2023-01-07
Absolutely awesome indoor cycling classes! Got addicted after coming for the first class! The instructors are really professional with excellent energy to push the class to excel at their best.,2023-01-07
"The classes are perfect and the atmosphere is lit! Should you like to try, do give JE’s masterclass a try before joining her class! You won’t regret signing up for packages to go for JE classes",2023-01-07
"I have always enjoyed coming to classes at their Center point outlet. The instructors are very encouraging and full of entertain, and the front desk people are the most helpful and friendly!",2023-01-06
"Reformer Instructors in Absolute has always been very attentive. I’m a beginner but they are always so readily to share their knowledge with you. Go and have fun, is a good toning workout!",2023-01-03
"I love how everything Is so perfect over here. Great front desk services , clean toilets with good amenities and more importantly, professional instructors with great passion in teaching !",2023-01-03
Have been going for Absolute Cycle for a month now and I'm absolutely loving all the hype and positivity going on during classes! It's my favourite thing to do now on the weekends yay!,2023-01-07
Love the vibe in this studio! Have my first ever spin class here and love that the ground staffs and instructors are always cheerful and willing to help. Toilet is spacious and clean.,2023-01-03
Tried pilates out recently despite being an Absolute member for years (spin) and it was humbling. Never expected to ache that badly the next day. Definitely coming back for more!,2023-01-03
"Been with absolute for spin and Pilates for a year, must say that the instructors are really good and professional! Introduced many of my friends to come join me as well :)",2023-01-03
"My first class at Absolute was in 2018, I took a break and restarted in Sep 2022. I am coming regularly now and it has helped me in my fitness and health. Thanks Absolute!",2023-01-06
"I’ve absolutely loved my time here - for spin or Pilates. Instructors are so encouraging, and the ambience is really good too! Front desk staff are especially helpful :)",2023-01-05
"They have the worse app! Hangs when the spot you want is taken and cant get on wailist. No use giving feedback, their biz is so good they dont care abt customer service",2023-01-07
Changed my life (for the better)! It’s an amazing complement to spin since it helps with strengthening while spin is more focused on improving cardiovascular health~,2023-01-05
"2nd class and im lovin it! So far the instructors were really patient and are good teachers. S/O to Pearlyn! :) Had to camp for weekend classes haha, thrilling much!",2023-01-07
"Been to many spin studios, absolute cycle is definitely the best among all. Great playlist, great & fun trainers, definitely a happy place to relieve the stress",2023-01-04
"Love the classes here!! Both pilates and cycle classes are super enjoyable, instructors are all very professional. Not to forget, shower amenities are great!",2023-01-03
"I am a regular attendee of Absolute Cycle and love their brilliant classes, friendly staff and stellar instructors! Special shoutout to the incomporable Una!",2023-01-07
I really enjoyed the reformer Pilates session! I felt my core being strengthened and the instructor was very patient and explained everything thoroughly!,2023-01-04
Great place for pilates and spin classes! Instructors provide fantastic energy and guidance. Studios are equipped well with shower facilities and such.,2023-01-03
Fav spin studio in Singapore with plenty of morning classes for me to get my workout before starting the day! Friendly staff and instructors too 😄👍🏼,2023-01-07
The studio is very spacious and clean. I like that studio offers both spin and pilates classes. Challenging workouts but high energy and great vibes!,2023-01-07
"Impossible to contact them after buying a package. Call the center, no one picks up. Email them, no replies!! Ridiculous. Extremely poor service!!!",2023-01-01
Absolute cycle has changed my life and passion toward workout and staying fit. Love the instructors and friendships out in this Absolute community.,2023-01-05
